client_id,round_number,hierarchy,num_samples,set,accuracy,loss
AnnSue,0,,104,test,0.7272727272727273,0.6929652690887451
BeckyKingston,0,,118,test,0.5833333333333334,0.69309002161026
Dogbook,0,,192,test,0.5,0.6931670904159546
Gen22,0,,114,test,0.75,0.6930356025695801
JeremyCShipp,0,,135,test,0.7142857142857143,0.6930629014968872
SarahSaner,0,,141,test,1.0,0.6928857564926147
StDAY,0,,202,test,0.6190476190476191,0.6930975914001465
WalkingHorse,0,,127,test,0.6923076923076923,0.693079948425293
adlyman,0,,120,test,0.5833333333333334,0.6930646896362305
carole29,0,,103,test,0.36363636363636365,0.6932008266448975
effingcards,0,,105,test,0.6363636363636364,0.6930435299873352
pdurham,0,,106,test,0.7272727272727273,0.6930059194564819
rgoodchild,0,,150,test,0.7333333333333333,0.6930585503578186
stevegarufi,0,,130,test,0.6923076923076923,0.6930626630783081
wendywings,0,,108,test,0.9090909090909091,0.6929056644439697
x33ieroNINJA,0,,135,test,0.9285714285714286,0.6929107308387756
AnnSue,2,,104,train,0.967741935483871,0.6860611438751221
BeckyKingston,2,,118,train,0.7169811320754716,0.6898303031921387
Dogbook,2,,192,train,0.28488372093023256,0.6964070796966553
Gen22,2,,114,train,0.8823529411764706,0.6873254776000977
JeremyCShipp,2,,135,train,0.7851239669421488,0.6888082027435303
SarahSaner,2,,141,train,0.8571428571428571,0.6878117322921753
StDAY,2,,202,train,0.430939226519337,0.6942050457000732
WalkingHorse,2,,127,train,0.8333333333333334,0.6882281303405762
adlyman,2,,120,train,0.7129629629629629,0.6900885105133057
carole29,2,,103,train,0.45652173913043476,0.6937744617462158
effingcards,2,,105,train,0.9787234042553191,0.6859707236289978
pdurham,2,,106,train,0.8210526315789474,0.6882956027984619
rgoodchild,2,,150,train,0.9333333333333333,0.6867112517356873
stevegarufi,2,,130,train,0.7692307692307693,0.6891629695892334
wendywings,2,,108,train,0.9072164948453608,0.6869939565658569
x33ieroNINJA,2,,135,train,0.9504132231404959,0.6863605380058289
AnnSue,2,,104,test,1.0,0.68560391664505
BeckyKingston,2,,118,test,0.5,0.6930913329124451
Dogbook,2,,192,test,0.5,0.6932088136672974
Gen22,2,,114,test,0.8333333333333334,0.6881362795829773
JeremyCShipp,2,,135,test,0.7857142857142857,0.6888791918754578
SarahSaner,2,,141,test,0.8666666666666667,0.6874708533287048
