client_id,round_number,hierarchy,num_samples,set,accuracy,loss
BrookeJasmyn,0,,13,test,0.5,0.6932023763656616
Brooke_Baldwin,0,,10,test,0.0,0.6934482455253601
CEPSocks_anne,0,,23,test,0.6666666666666666,0.6931961178779602
CFJamesAllen,0,,18,test,0.5,0.6931398510932922
CHELSEAbbyckes,0,,20,test,0.0,0.693467378616333
CLAiireex,0,,50,test,0.2,0.6932539939880371
CMV420,0,,18,test,1.0,0.6928349733352661
CT415,0,,46,test,0.4,0.6931135654449463
CabreraNina,0,,18,test,0.0,0.6933175325393677
Calumfan1,0,,10,test,1.0,0.6930680274963379
CamChristoff,0,,12,test,1.0,0.6929459571838379
CambridgePup,0,,10,test,0.0,0.6935392022132874
CameronJNP,0,,19,test,0.0,0.6934473514556885
Can_dee,0,,10,test,0.0,0.693308413028717
CandyGirl24,0,,33,test,0.25,0.6932291388511658
CannonGod,0,,45,test,0.6,0.6931834816932678
CarissaMEB,0,,10,test,0.0,0.6934906840324402
CarissaWee,0,,20,test,0.0,0.6934159994125366
CarlisleCullen_,0,,20,test,1.0,0.6929115056991577
Carlosg88,0,,10,test,1.0,0.6930202841758728
CarolBomb,0,,14,test,0.5,0.6931917667388916
Caseyy_,0,,12,test,0.0,0.6933608055114746
CatalinaJ24,0,,17,test,1.0,0.6929391622543335
CelebrityPrince,0,,11,test,0.5,0.693083643913269
Celticpussycat,0,,47,test,0.4,0.6931695938110352
ChelsDuff,0,,25,test,0.6666666666666666,0.6931334137916565
ChelseaLeyden,0,,11,test,0.5,0.693286120891571
Chelsea_Bevans,0,,14,test,0.5,0.6930770874023438
ChelsyArchuleta,0,,11,test,0.5,0.6932706832885742
ChelzsoRoyaL,0,,10,test,0.0,0.6931836009025574
Cherrykeri,0,,19,test,0.0,0.6936115622520447
CherylEsq,0,,10,test,0.0,0.6932810544967651
ChrisAGriffin,0,,30,test,0.3333333333333333,0.693104088306427
ChrisBatDell,0,,11,test,0.5,0.6930131316184998
Chrissstinaaa,0,,12,test,1.0,0.6929157972335815
ChristalWasHere,0,,27,test,0.3333333333333333,0.6931489109992981
Christio_,0,,11,test,1.0,0.692834734916687
Christyxcore,0,,34,test,0.25,0.6932889223098755
ChupaCabras69,0,,23,test,0.6666666666666666,0.692992627620697
