client_id,round_number,hierarchy,num_samples,set,accuracy,loss
AMF7,0,,34,test,0.25,0.6932156682014465
AlexandraMcFLY,0,,32,test,0.75,0.692977249622345
AmyTheFailWhale,0,,30,test,0.3333333333333333,0.693249523639679
Angel42579,0,,75,test,1.0,0.6928578019142151
AntonioReyX360,0,,30,test,0.6666666666666666,0.6930398344993591
AtlantisJackson,0,,52,test,0.8333333333333334,0.6929812431335449
Ayvii,0,,37,test,0.5,0.6931301355361938
Benjimonicus,0,,40,test,0.25,0.6933214664459229
BigAssBadger,0,,30,test,0.6666666666666666,0.6931049823760986
BostinBloke,0,,42,test,1.0,0.6928750276565552
Boy_Kill_Boy,0,,41,test,0.4,0.6932012438774109
Caprica,0,,60,test,0.3333333333333333,0.6931248307228088
Christiegarcia,0,,47,test,1.0,0.6929515600204468
CocaBeenSlinky,0,,90,test,0.6666666666666666,0.6931546330451965
DLDAVID,0,,32,test,0.75,0.69298255443573
DNiCESEOUL,0,,33,test,0.75,0.6930015087127686
D_Child,0,,38,test,0.5,0.6930267810821533
DaisyReyes,0,,61,test,0.8571428571428571,0.6930240988731384
DivaWonderGirl,0,,36,test,0.5,0.693088948726654
ELJmcfly,0,,32,test,0.5,0.6931392550468445
ElyseGabrielle,0,,43,test,0.6,0.6931931972503662
EmeraldDiscount,0,,64,test,0.5714285714285714,0.6931134462356567
ErinLeeDuhh,0,,30,test,0.6666666666666666,0.6932075619697571
FOOFOOx33,0,,39,test,0.75,0.6930732727050781
FlissTee,0,,96,test,0.9,0.6929330825805664
Gavsmom1999,0,,30,test,0.3333333333333333,0.6931136250495911
HOTTVampChick,0,,38,test,0.0,0.6933637857437134
HarryHarley,0,,92,test,0.7,0.6930078864097595
Has_Bookpushers,0,,31,test,0.75,0.693082332611084
HeartBreakV,0,,31,test,0.5,0.693202793598175
HectorJesus,0,,30,test,1.0,0.6929917335510254
IIanS,0,,30,test,0.3333333333333333,0.6932587623596191
IdolFanatic,0,,49,test,0.6,0.6930702924728394
Ioan_Said,0,,47,test,0.8,0.6929849982261658
JJLuver756,0,,31,test,1.0,0.6928822994232178
Javamomma,0,,50,test,0.4,0.6931644082069397
Jayme1988,0,,225,test,0.6521739130434783,0.6930590271949768
JenLovesJoey,0,,32,test,0.5,0.6932613849639893
JeniPoynter_x,0,,39,test,1.0,0.6928494572639465
Jill88,0,,31,test,1.0,0.6928727030754089
Jinxie_G,0,,81,test,0.8888888888888888,0.6929432153701782
JoeJisthebest,0,,34,test,0.25,0.6932668089866638
JordanC9122,0,,41,test,0.6,0.693175196647644
KOLtwitbot,0,,62,test,0.7142857142857143,0.6930163502693176
Karen_Eden,0,,31,test,0.25,0.693268895149231
LBOI,0,,34,test,0.75,0.6929581165313721
LdyDisney,0,,41,test,0.8,0.693045437335968
Leanne0710,0,,101,test,0.45454545454545453,0.6932572722434998
Lil_Miss_Clumsy,0,,40,test,0.5,0.6931182146072388
LydiaStack,0,,64,test,0.42857142857142855,0.693213164806366
MAGGIECHICKEN,0,,58,test,0.3333333333333333,0.6933190822601318
MagicMileyCyrus,0,,45,test,0.8,0.6930868625640869
MarIaSinger,0,,33,test,0.5,0.693079948425293
MarcyChen,0,,58,test,1.0,0.6928642392158508
Matalatine,0,,37,test,0.75,0.6931814551353455
McEntire1255,0,,57,test,0.5,0.6931559443473816
MelissaJohnsen,0,,36,test,0.5,0.6930289268493652
MissMeggyDee,0,,38,test,0.5,0.6931804418563843
MissMillions,0,,45,test,0.4,0.693199098110199
MissPassion,0,,43,test,0.0,0.6934207677841187
Miss_Melbourne,0,,48,test,0.6,0.6930037140846252
Morrica,0,,33,test,0.75,0.6929338574409485
MrsGabrielGray_,0,,32,test,0.75,0.6929763555526733
NathalieCaron,0,,105,test,0.2727272727272727,0.693279504776001
Nathan133,0,,51,test,0.0,0.6934580206871033
NickJoeKevin01,0,,41,test,0.6,0.6929874420166016
NickyLovesMcFly,0,,65,test,0.5714285714285714,0.6930694580078125
NickyMcB,0,,46,test,0.0,0.6934131979942322
Nicsey,0,,37,test,0.75,0.6930412650108337
