emmaluxton,1,,72,train,160696344,160696344,4830427860
Lisagassmann,1,,11,train,160696344,160696344,0
helentaustin,2,,18,train,160696344,160696344,805071310
merejames,2,,14,train,160696344,160696344,805071310
oinkd,3,,16,train,160696344,160696344,805071310
twliciousness,3,,43,train,160696344,160696344,2415213930
DustinJMcClure,4,,13,train,160696344,160696344,805071310
ladysilver,4,,11,train,160696344,160696344,0
thehivemind,5,,14,train,160696344,160696344,805071310
Jeewhizz,5,,12,train,160696344,160696344,805071310
RajaSen,6,,12,train,160696344,160696344,805071310
KenDahl4U,6,,25,train,160696344,160696344,1610142620
OhMaiLisa,7,,21,train,160696344,160696344,805071310
ComplicatedMama,7,,14,train,160696344,160696344,805071310
3alyo0o,8,,11,train,160696344,160696344,0
paul_steele,8,,152,train,160696344,160696344,10465927030
eshenayo,9,,12,train,160696344,160696344,805071310
VickeLicious,9,,20,train,160696344,160696344,805071310
hannahMCFLY6,10,,11,train,160696344,160696344,0
EmzShezComics,10,,15,train,160696344,160696344,805071310
