McEntire1255,1,,57,train,160696344,160696344,4025356550
ashleigh92,1,,32,train,160696344,160696344,1610142620
caldjr,2,,131,train,160696344,160696344,8855784410
tricia_anne30,2,,32,train,160696344,160696344,1610142620
Benjimonicus,3,,40,train,160696344,160696344,2415213930
joshuar1313,3,,33,train,160696344,160696344,1610142620
Tisyonk,4,,38,train,160696344,160696344,2415213930
nighttime_lies,4,,40,train,160696344,160696344,2415213930
xoxmillyxox,5,,81,train,160696344,160696344,5635499170
jamisloan,5,,39,train,160696344,160696344,2415213930
frankparker,6,,72,train,160696344,160696344,4830427860
tiarafranks,6,,34,train,160696344,160696344,2415213930
torilovesbradie,7,,182,train,160696344,160696344,12881140960
tricia_anne30,7,,32,train,160696344,160696344,1610142620
imanwilliams,8,,91,train,160696344,160696344,6440570480
JenLovesJoey,8,,32,train,160696344,160696344,1610142620
babyscratch,9,,30,train,160696344,160696344,1610142620
semipenguin,9,,133,train,160696344,160696344,8855784410
tricia_anne30,10,,32,train,160696344,160696344,1610142620
joanslade,10,,43,train,160696344,160696344,2415213930
